COUNTRY_ID,TOTAL KG,TOTAL VOLUME,TOTAL PRICE,TOTAL SHIPMENTS,ENGLISH_NAME,code_alpha_3
579,0.65,0.0,2281.0,4,BAHAMAS,BHS
580,3511.693,3.904783,634554.87,872,BAHRAIN,BHR
581,1173.6370000000002,4.409606,268739.95,276,BANGLADESH,BGD
582,122.552,0.19576,20932.3,9,BARBADOS,BRB
584,21636.159,52.369882000000004,3987009.6799999997,9325,BELGIUM,BEL
585,0.6300000000000001,0.0,1923.0,4,BELIZE,BLZ
586,510.648,1.3968889999999998,222083.03,334,BENIN,BEN
587,150.29,0.5218769999999999,44915.0,29,BERMUDA,BMU
588,52.232,0.034684,21281.4,34,BELARUS,BLR
591,7.82,0.0,4445.6,8,BOTSWANA,BWA
592,1755.8870000000002,3.1604810000000003,331688.95,280,BRAZIL,BRA
593,57.86,0.08354,24822.5,32,BURUNDI,BDI
595,0.05,0.0,363.0,1,BHUTAN,BTN
596,1380.484,3.361585,521918.24,686,BURKINA FASO,BFA
598,0.22000000000000003,0.0,1697.0,3,CAYMAN ISLANDS,CYM
599,136.303,0.48050399999999993,23180.02,52,GIBRALTAR,GIB
600,2117.709,3.881207,648007.68,1376,ALGERIA,DZA
601,95.35000000000001,0.223659,33815.0,47,DJIBOUTI,DJI
602,362.1840000000001,1.6315469999999999,57250.7,39,COMOROS,COM
604,426.476,0.77354,102073.84,69,CHAD,TCD
606,10297.84,25.154906,2454123.1100000003,3248,CHINA,CHN
607,4349.095,8.801217,481698.56000000006,587,DENMARK,DNK
608,406.011,1.1042830000000001,60427.98000000001,31,DOMINICAN REPUBLIC,DOM
609,0.05,0.0,344.0,1,DOMINICA,DMA
611,13.1,0.0,3842.0,4,EL SALVADOR,SLV
612,711.1189999999999,1.732816,147020.97999999998,147,INDONESIA,IDN
613,0.05,0.0,1016.0,2,ERITREA,ERI
614,1.9400000000000004,0.0,1704.0,6,ARMENIA,ARM
615,1169.2409999999998,0.40352499999999997,149659.13999999998,54,ESTONIA,EST
616,181.171,0.5450699999999999,65843.01000000001,71,ETHIOPIA,ETH
618,0.18,0.0,435.02,2,FAROE ISLANDS,FRO
619,369457.82599999994,0.0,46249763.44,85542,MOROCCO,MAR
620,291.4680000000001,0.48452199999999995,82802.25,93,PHILIPPINES,PHL
621,1153.775,3.1028520000000004,176557.6,258,FINLAND,FIN
622,282093.028,776.0454139999999,45823369.03,106090,FRANCE,FRA
623,1.1680000000000001,0.0,3706.0,6,FRENCH GUIANA,GUF
624,763.65,1.3203840000000002,283952.63,380,GABON,GAB
625,83.19999999999999,0.107934,39660.45999999999,61,GAMBIA,GMB
626,197.93099999999998,0.45608,97776.49,176,GHANA,GHA
629,0.05,0.0,349.0,1,GRENADA,GRD
630,0.89,0.0,205.02,1,GREENLAND,GRL
631,435.69599999999997,1.4111720000000003,87781.32999999999,55,GUADELOUPE,GLP
632,42673.225000000006,93.57860500000001,7428009.08,11978,GERMANY,DEU
633,17.19,0.044616,3834.39,4,GUAM,GUM
635,0.11,0.0,670.0,2,GUYANA,GUY
637,9.575999999999999,0.022216,8761.900000000001,15,GEORGIA,GEO
647,31.33,0.1305,2881.0,3,GUERNSEY,GGY
649,156.389,0.619178,24883.66,13,GUATEMALA,GTM
824,1.9800000000000002,0.000936,4273.0,9,SERBIA,SRB
