,CUST_ID,CUST_TYPE,CUST_NAME
164,623,1,CIMA_FRENCH GUIANA
165,624,1,CIMA_GABON
166,625,1,CIMA_GAMBIA
167,626,1,CIMA_GHANA
168,628,1,CIMA_GUINEA REPUBLIC
169,629,1,CIMA_GRENADA
170,630,1,CIMA_GREENLAND
171,631,1,CIMA_GUADELOUPE
172,632,1,CIMA_GERMANY
173,633,1,CIMA_GUAM
174,635,1,CIMA_GUYANA
175,636,1,"CIMA_REPUBLIC, SOUTH AFRICA"
176,637,1,CIMA_GEORGIA
177,646,1,CIMA_EQUADOR
178,647,1,CIMA_GUERNSEY
179,583,1,CIMA_WESTERN SAMOA
180,585,1,CIMA_BELIZE
181,586,1,CIMA_BENIN
182,587,1,CIMA_BERMUDA
183,588,1,CIMA_BELARUS
184,2709,1,SALE BAB CHAAFA
185,591,1,CIMA_BOTSWANA
186,593,1,CIMA_BURUNDI
187,595,1,CIMA_BHUTAN
188,597,1,CIMA_CAPE VERDE
189,598,1,CIMA_CAYMAN ISLANDS
190,599,1,CIMA_GIBRALTAR
191,600,1,CIMA_ALGERIA
192,601,1,CIMA_DJIBOUTI
193,602,1,CIMA_COMOROS
194,604,1,CIMA_CHAD
195,605,1,CIMA_CZECH REPUBLIC
196,606,1,CIMA_CHINA
197,607,1,CIMA_DENMARK
198,608,1,CIMA_DOMINICAN REPUBLIC
199,609,1,CIMA_DOMINICA
200,611,1,CIMA_EL SALVADOR
201,612,1,CIMA_INDONESIA
202,613,1,CIMA_ERITREA
203,615,1,CIMA_ESTONIA
204,616,1,CIMA_ETHIOPIA
205,617,1,CIMA_FALKLAND ISLANDS
206,618,1,CIMA_FAROE ISLANDS
207,619,1,CIMA_MOROCCO
208,620,1,CIMA_PHILIPPINES
209,463,1,CIMA_TOKELAU
210,465,1,CIMA_CENTRAL AFRICAN REPUBLIC
211,466,1,CIMA_MICRONESIA
212,470,1,CIMA_WALLIS AND FUTUNA ISLANDS
213,471,1,CIMA_ANTARTICA
214,472,1,CIMA_MAYOTTE
215,473,1,CIMA_SAN MARINO
216,474,1,CIMA_CHRISTMAS ISLANDS
217,475,1,CIMA_FIJI
218,476,1,CIMA_NORFOLK ISLANDS
219,477,1,CIMA_CONGO DEMOCRATIC
220,478,1,CIMA_BOUVET ISLANDS
221,479,1,CIMA_US MINOR OUTLYING ISL.
222,480,1,CIMA_FRENCH SOUTHERN TERRITORIES
223,481,1,CIMA_SOLOMON ISLANDS
224,482,1,CIMA_SAUDI ARABIA
225,483,1,CIMA_TRINIDAD AND TOBAGO
226,484,1,CIMA_VENEZUELA
227,485,1,CIMA_GREECE
228,487,1,CIMA_IRAN
229,488,1,CIMA_COSTA RICA
230,489,1,CIMA_PUERTO RICO
231,510,1,CIMA_ST.LUCIA
232,512,1,CIMA_ST.VINCENT AND THE GRENADINES
233,513,1,CIMA_SUDAN
234,514,1,CIMA_SURINAME
235,515,1,CIMA_SYRIA
236,516,1,CIMA_SWAZILAND
237,517,1,CIMA_SEYCHELLES
238,518,1,CIMA_CHILE
239,519,1,CIMA_TAJIKISTAN
240,520,1,"CIMA_TAHITI, FRENCH POLYNESIA"
241,521,1,CIMA_TANZANIA
242,522,1,CIMA_THAILAND
243,523,1,CIMA_TAIWAN
244,524,1,CIMA_TOGO
245,525,1,CIMA_TONGA
246,526,1,CIMA_TUNISIA
247,527,1,CIMA_TURKS AND CAICOS ISLANDS
248,528,1,CIMA_TUVALU
249,529,1,CIMA_TURKMENISTAN
250,530,1,CIMA_UGANDA
251,531,1,CIMA_OMAN
252,532,1,CIMA_URUGUAY
253,533,1,CIMA_JORDAN
254,534,1,CIMA_VANUATU
255,535,1,CIMA_VIETNAM
256,536,1,CIMA_VIRGIN ISL.(USA)
257,537,1,CIMA_VIRGIN ISL. (UK)
258,538,1,CIMA_YEMEN
259,539,1,CIMA_NEW CALEDONIA
260,540,1,CIMA_NEW ZEALAND
261,541,1,CIMA_SERBIA
262,388,1,CIMA_HONDURAS
263,389,1,CIMA_HONG KONG
